date,hits,geo,keyword,name
2019-09-21,1,world,physics nobel,Physics
2019-09-22,1,world,physics nobel,Physics
2019-09-23,1,world,physics nobel,Physics
2019-09-24,1,world,physics nobel,Physics
2019-09-25,1,world,physics nobel,Physics
2019-09-26,2,world,physics nobel,Physics
2019-09-27,1,world,physics nobel,Physics
2019-09-28,2,world,physics nobel,Physics
2019-09-29,1,world,physics nobel,Physics
2019-09-30,1,world,physics nobel,Physics
2019-10-01,2,world,physics nobel,Physics
2019-10-02,2,world,physics nobel,Physics
2019-10-03,2,world,physics nobel,Physics
2019-10-04,1,world,physics nobel,Physics
2019-10-05,1,world,physics nobel,Physics
2019-10-06,1,world,physics nobel,Physics
2019-10-07,8,world,physics nobel,Physics
2019-10-08,48,world,physics nobel,Physics
2019-10-09,25,world,physics nobel,Physics
2019-10-10,15,world,physics nobel,Physics
2019-10-11,11,world,physics nobel,Physics
2019-10-12,7,world,physics nobel,Physics
2019-10-13,6,world,physics nobel,Physics
2019-10-14,11,world,physics nobel,Physics
2019-10-15,7,world,physics nobel,Physics
2019-10-16,4,world,physics nobel,Physics
2019-10-17,4,world,physics nobel,Physics
2019-10-18,3,world,physics nobel,Physics
2019-09-21,1,world,chemistry nobel,Chemistry
2019-09-22,1,world,chemistry nobel,Chemistry
2019-09-23,1,world,chemistry nobel,Chemistry
2019-09-24,1,world,chemistry nobel,Chemistry
2019-09-25,1,world,chemistry nobel,Chemistry
2019-09-26,1,world,chemistry nobel,Chemistry
2019-09-27,1,world,chemistry nobel,Chemistry
2019-09-28,1,world,chemistry nobel,Chemistry
2019-09-29,0,world,chemistry nobel,Chemistry
2019-09-30,1,world,chemistry nobel,Chemistry
2019-10-01,1,world,chemistry nobel,Chemistry
2019-10-02,1,world,chemistry nobel,Chemistry
2019-10-03,1,world,chemistry nobel,Chemistry
2019-10-04,1,world,chemistry nobel,Chemistry
2019-10-05,1,world,chemistry nobel,Chemistry
2019-10-06,1,world,chemistry nobel,Chemistry
2019-10-07,4,world,chemistry nobel,Chemistry
2019-10-08,8,world,chemistry nobel,Chemistry
2019-10-09,51,world,chemistry nobel,Chemistry
2019-10-10,21,world,chemistry nobel,Chemistry
2019-10-11,11,world,chemistry nobel,Chemistry
2019-10-12,10,world,chemistry nobel,Chemistry
2019-10-13,7,world,chemistry nobel,Chemistry
2019-10-14,7,world,chemistry nobel,Chemistry
2019-10-15,6,world,chemistry nobel,Chemistry
2019-10-16,4,world,chemistry nobel,Chemistry
2019-10-17,4,world,chemistry nobel,Chemistry
2019-10-18,4,world,chemistry nobel,Chemistry
2019-09-21,0,world,medicine nobel,Medicine
2019-09-22,1,world,medicine nobel,Medicine
2019-09-23,1,world,medicine nobel,Medicine
2019-09-24,1,world,medicine nobel,Medicine
2019-09-25,1,world,medicine nobel,Medicine
2019-09-26,0,world,medicine nobel,Medicine
2019-09-27,1,world,medicine nobel,Medicine
2019-09-28,0,world,medicine nobel,Medicine
2019-09-29,1,world,medicine nobel,Medicine
2019-09-30,1,world,medicine nobel,Medicine
2019-10-01,1,world,medicine nobel,Medicine
2019-10-02,1,world,medicine nobel,Medicine
2019-10-03,1,world,medicine nobel,Medicine
2019-10-04,1,world,medicine nobel,Medicine
2019-10-05,1,world,medicine nobel,Medicine
2019-10-06,1,world,medicine nobel,Medicine
2019-10-07,33,world,medicine nobel,Medicine
2019-10-08,19,world,medicine nobel,Medicine
2019-10-09,10,world,medicine nobel,Medicine
2019-10-10,6,world,medicine nobel,Medicine
2019-10-11,5,world,medicine nobel,Medicine
2019-10-12,6,world,medicine nobel,Medicine
2019-10-13,3,world,medicine nobel,Medicine
2019-10-14,5,world,medicine nobel,Medicine
2019-10-15,4,world,medicine nobel,Medicine
2019-10-16,3,world,medicine nobel,Medicine
2019-10-17,2,world,medicine nobel,Medicine
2019-10-18,2,world,medicine nobel,Medicine
2019-09-21,1,world,economics nobel,Economics
2019-09-22,1,world,economics nobel,Economics
2019-09-23,1,world,economics nobel,Economics
2019-09-24,1,world,economics nobel,Economics
2019-09-25,1,world,economics nobel,Economics
2019-09-26,1,world,economics nobel,Economics
2019-09-27,1,world,economics nobel,Economics
2019-09-28,1,world,economics nobel,Economics
2019-09-29,0,world,economics nobel,Economics
2019-09-30,1,world,economics nobel,Economics
2019-10-01,1,world,economics nobel,Economics
2019-10-02,1,world,economics nobel,Economics
2019-10-03,1,world,economics nobel,Economics
2019-10-04,1,world,economics nobel,Economics
2019-10-05,1,world,economics nobel,Economics
2019-10-06,1,world,economics nobel,Economics
2019-10-07,2,world,economics nobel,Economics
2019-10-08,4,world,economics nobel,Economics
2019-10-09,4,world,economics nobel,Economics
2019-10-10,5,world,economics nobel,Economics
2019-10-11,5,world,economics nobel,Economics
2019-10-12,4,world,economics nobel,Economics
2019-10-13,4,world,economics nobel,Economics
2019-10-14,100,world,economics nobel,Economics
2019-10-15,53,world,economics nobel,Economics
2019-10-16,24,world,economics nobel,Economics
2019-10-17,11,world,economics nobel,Economics
2019-10-18,9,world,economics nobel,Economics
